gene,cell_group,donors,total_nuclei,mean_expression,mean_percent_expressing
IDUA,Granulocyte,14,236,0.18165326712961602,7.142857142857143
IDUA,Myelinating_SC,19,5535,0.0704185160755621,4.168625594583905
IDUA,B_cell,20,241,0.06216934501532463,3.658881029570684
IDUA,Endoneurial_stroma,20,18018,0.07304497730240385,3.54505760357004
IDUA,Macrophage,20,7437,0.07613696432660674,3.3256399341689318
IDUA,BNB_EC,20,4793,0.06372155807025573,3.1969015731534824
IDUA,Epineurial_stroma,20,20672,0.055078625150513184,2.9520042122794115
IDUA,Other_EC,20,20899,0.052323499993119936,2.7927607448236142
IDUA,Repair_damage_SC,20,4151,0.03712246258630224,2.2079197477382038
IDUA,Mast,20,775,0.03742017765109719,1.807559907674324
IDUA,Perineurium,20,56134,0.031106605824365436,1.7070701426543238
IDUA,Nonmyelinating_SC,20,38927,0.03761201010122296,1.7011059064574106
IDUA,T_NK,20,1841,0.050442060631752626,1.6653407403446205
IDUA,Pericyte_VSMC,20,38774,0.023241793809507076,1.29464734104087
ME1,Adipo,19,2582,1.924001764780699,72.04235777314203
ME1,Macrophage,20,7437,1.0913481318514826,32.681528159238425
ME1,Epineurial_stroma,20,20672,0.5552033698968015,23.478695691126084
ME1,Endoneurial_stroma,20,18018,0.5598972286434478,23.171524140997345
ME1,Myelinating_SC,19,5535,0.5154402690611292,21.289625777028917
ME1,Perineurium,20,56134,0.3983355805706855,17.73329650748753
ME1,B_cell,20,241,0.2873116325116107,12.891890197924681
ME1,Repair_damage_SC,20,4151,0.17847357237906272,9.269077163516016
ME1,Pericyte_VSMC,20,38774,0.20169241110163338,9.061217163871099
ME1,Mast,20,775,0.08554431645160611,4.242397845160567
ME1,T_NK,20,1841,0.10523271009923105,3.891625400251185
ME1,Nonmyelinating_SC,20,38927,0.028983670790598975,1.3960391903349545
ME1,BNB_EC,20,4793,0.022780489964488514,1.2132327485611014
ME1,Other_EC,20,20899,0.022847960341753636,1.1809160290279306
ME1,Granulocyte,14,236,0.030154352510910722,0.7070281406564592
SLAMF9,Macrophage,20,7437,0.0005171984753937801,0.05495169082125604
SLAMF9,BNB_EC,20,4793,0.000151955703153505,0.00866551126516464
SLAMF9,Epineurial_stroma,20,20672,8.2521065482875e-05,0.0082058708178719
SLAMF9,Nonmyelinating_SC,20,38927,0.00013370800846867,0.005423192667147685
SLAMF9,Pericyte_VSMC,20,38774,8.554043404950501e-05,0.002524614996213075
SLAMF9,Adipo,19,2582,0.0,0.0
SLAMF9,B_cell,20,241,0.0,0.0
SLAMF9,Endoneurial_stroma,20,18018,0.0,0.0
SLAMF9,Granulocyte,14,236,0.0,0.0
SLAMF9,Mast,20,775,0.0,0.0
SLAMF9,Myelinating_SC,19,5535,0.0,0.0
SLAMF9,Other_EC,20,20899,0.0,0.0
SLAMF9,Perineurium,20,56134,0.0,0.0
SLAMF9,Repair_damage_SC,20,4151,0.0,0.0
SLAMF9,T_NK,20,1841,0.0,0.0
SLC39A3,Adipo,19,2582,0.024597131848719707,2.042735522402202
SLC39A3,Myelinating_SC,19,5535,0.0207033023579708,1.2085216029776016
SLC39A3,Other_EC,20,20899,0.021878970689537314,1.1654693273207322
SLC39A3,BNB_EC,20,4793,0.022528818869262248,1.0742161446621565
SLC39A3,Pericyte_VSMC,20,38774,0.014166992113898044,0.7843715925695715
SLC39A3,Epineurial_stroma,20,20672,0.011448056822226754,0.7362035482607713
SLC39A3,T_NK,20,1841,0.013456743901795895,0.6938242378895096
SLC39A3,Perineurium,20,56134,0.010110279137134774,0.584989603873629
SLC39A3,Macrophage,20,7437,0.00983176617258918,0.5647387766375822
SLC39A3,Nonmyelinating_SC,20,38927,0.010119754665835635,0.518042511200917
SLC39A3,Repair_damage_SC,20,4151,0.00714183887393981,0.5166307744831407
SLC39A3,Endoneurial_stroma,20,18018,0.006039573317026305,0.3350337165865173
SLC39A3,Mast,20,775,0.00499851010946895,0.24242424242424238
SLC39A3,B_cell,20,241,0.0020040702998492003,0.1282051282051282
SLC39A3,Granulocyte,14,236,0.0,0.0
TMEM175,Adipo,19,2582,0.14812668856377287,13.49623692985526
TMEM175,Myelinating_SC,19,5535,0.16345591988570787,8.525549138430145
TMEM175,Endoneurial_stroma,20,18018,0.16749625061357118,8.024082028957304
TMEM175,Epineurial_stroma,20,20672,0.15035675627042833,7.601044148734016
TMEM175,T_NK,20,1841,0.1643725506233614,6.436687910299348
TMEM175,Macrophage,20,7437,0.1390489703174224,6.425242914326051
TMEM175,Repair_damage_SC,20,4151,0.10898646073634195,6.312569415602854
TMEM175,Perineurium,20,56134,0.12246371983585318,6.24896373523977
TMEM175,Pericyte_VSMC,20,38774,0.11311379988629562,5.644653376186431
TMEM175,BNB_EC,20,4793,0.10659634792971431,5.539702555149426
TMEM175,Other_EC,20,20899,0.10285107483290386,5.537320626534028
TMEM175,B_cell,20,241,0.10256522768758021,4.954336691405656
TMEM175,Mast,20,775,0.09965472035829556,4.936036539059849
TMEM175,Nonmyelinating_SC,20,38927,0.10645875421256565,4.711001341393238
TMEM175,Granulocyte,14,236,0.005231563326050965,0.19548625743316012
