disease,cell_group,gene,evidence_tier,n_donors,total_nuclei,mean_expression,median_expression,mean_percent_expressing
CIDP,BNB_EC,GNG7,CIDP,9,2470,0.2452638515796663,0.2476543870931124,11.439215736118008
CIDP,BNB_EC,IDUA,Inflammatory_polyneuropathy,9,2470,0.0555515524172602,0.0589260883814989,2.921194663656512
CIDP,BNB_EC,ME1,Inflammatory_polyneuropathy,9,2470,0.0220281683570128,0.0029483918664098,1.123513508519293
CIDP,BNB_EC,SLAMF9,Inflammatory_polyneuropathy,9,2470,0.0003376793403411,0.0,0.0192566917003658
CIDP,BNB_EC,SLC39A3,CIDP,9,2470,0.03157223669713,0.0196461414599337,1.4941730559501587
CIDP,BNB_EC,TMEM175,Inflammatory_polyneuropathy,9,2470,0.0975649180027779,0.1045233145228389,5.192636978854453
CIDP,B_cell,CDH4,CIDP,9,100,0.0130841758895854,0.0,0.6172839506172839
CIDP,B_cell,DCTN1,Inflammatory_polyneuropathy,9,100,0.040175134634899,0.0,2.2045855379188715
CIDP,B_cell,DGKQ,Inflammatory_polyneuropathy,9,100,0.0044795845359728,0.0,0.2057613168724279
CIDP,B_cell,DIRAS1,CIDP,9,100,0.0085979783151056,0.0,0.7936507936507936
CIDP,B_cell,GLDC,Inflammatory_polyneuropathy,9,100,0.0439171343653596,0.0,2.2045855379188715
CIDP,B_cell,GNG7,CIDP,9,100,1.519435357891358,1.5374272833451303,50.54266720933387
CIDP,B_cell,IDUA,Inflammatory_polyneuropathy,9,100,0.0888320122599247,0.0,4.115226337448559
CIDP,B_cell,ME1,Inflammatory_polyneuropathy,9,100,0.2859539139660134,0.0,13.994030660697328
CIDP,B_cell,SLAMF9,Inflammatory_polyneuropathy,9,100,0.0,0.0,0.0
CIDP,B_cell,SLC39A3,CIDP,9,100,0.0,0.0,0.0
CIDP,B_cell,TMEM175,Inflammatory_polyneuropathy,9,100,0.0857525345845705,0.0,3.529597974042418
CIDP,Endoneurial_stroma,CDH4,CIDP,9,9412,0.1204044261571493,0.1017338180524821,5.490702666268295
CIDP,Endoneurial_stroma,DCTN1,Inflammatory_polyneuropathy,9,9412,0.1375233856467844,0.1317003778314882,6.886895891236298
CIDP,Endoneurial_stroma,DGKQ,Inflammatory_polyneuropathy,9,9412,0.0395294244317459,0.0344364969726916,1.979953655298272
CIDP,Endoneurial_stroma,DIRAS1,CIDP,9,9412,0.0003755075420617,0.0,0.019836126979575
CIDP,Endoneurial_stroma,GLDC,Inflammatory_polyneuropathy,9,9412,0.0106234778112176,0.0105913607165007,0.52176983355692
CIDP,Endoneurial_stroma,GNG7,CIDP,9,9412,0.0228893492220629,0.0190767093555899,1.2593024022010542
CIDP,Endoneurial_stroma,IDUA,Inflammatory_polyneuropathy,9,9412,0.07815053180599,0.0782502153627103,3.593016199593959
CIDP,Endoneurial_stroma,ME1,Inflammatory_polyneuropathy,9,9412,0.5327367518199737,0.5609819832813783,21.80517474403401
CIDP,Endoneurial_stroma,SLAMF9,Inflammatory_polyneuropathy,9,9412,0.0,0.0,0.0
CIDP,Endoneurial_stroma,SLC39A3,CIDP,9,9412,0.0048555832353473,0.0010611701870564,0.2732713951247451
CIDP,Endoneurial_stroma,TMEM175,Inflammatory_polyneuropathy,9,9412,0.1581026604876285,0.1549184629432114,7.44091496048466
CIDP,Epineurial_stroma,CDH4,CIDP,9,6853,0.2864875298765035,0.2459943138825646,11.788745919638329
CIDP,Epineurial_stroma,DCTN1,Inflammatory_polyneuropathy,9,6853,0.1616036799373167,0.1704487734999119,8.113865636643366
CIDP,Epineurial_stroma,DGKQ,Inflammatory_polyneuropathy,9,6853,0.0369950625579611,0.033994713800966,1.8192431217021583
CIDP,Epineurial_stroma,DIRAS1,CIDP,9,6853,0.0004428369060551,0.0,0.0416036788642293
CIDP,Epineurial_stroma,GLDC,Inflammatory_polyneuropathy,9,6853,0.0180439364136297,0.0106541373916647,0.8834694310152637
CIDP,Epineurial_stroma,GNG7,CIDP,9,6853,0.0478088822163104,0.0458238258300407,2.540948807818036
CIDP,Epineurial_stroma,IDUA,Inflammatory_polyneuropathy,9,6853,0.0503629259449688,0.0494372656704919,2.5848842744814515
CIDP,Epineurial_stroma,ME1,Inflammatory_polyneuropathy,9,6853,0.5122212642850497,0.4759566619231901,21.32739028610148
CIDP,Epineurial_stroma,SLAMF9,Inflammatory_polyneuropathy,9,6853,0.0001833801455175,0.0,0.0182352684841597
CIDP,Epineurial_stroma,SLC39A3,CIDP,9,6853,0.0098725684441358,0.00804895126445,0.6441552637787191
CIDP,Epineurial_stroma,TMEM175,Inflammatory_polyneuropathy,9,6853,0.1571991865779772,0.1527362904294097,7.28924440430011
CIDP,Granulocyte,CDH4,CIDP,6,35,0.0,0.0,0.0
CIDP,Granulocyte,DCTN1,Inflammatory_polyneuropathy,6,35,0.0,0.0,0.0
CIDP,Granulocyte,DGKQ,Inflammatory_polyneuropathy,6,35,0.030017430704217,0.0,0.8771929824561403
CIDP,Granulocyte,DIRAS1,CIDP,6,35,0.0,0.0,0.0
CIDP,Granulocyte,GLDC,Inflammatory_polyneuropathy,6,35,0.0,0.0,0.0
CIDP,Granulocyte,GNG7,CIDP,6,35,0.197073997990976,0.0,5.043859649122807
CIDP,Granulocyte,IDUA,Inflammatory_polyneuropathy,6,35,0.4238576233024373,0.0,16.666666666666668
CIDP,Granulocyte,ME1,Inflammatory_polyneuropathy,6,35,0.0,0.0,0.0
CIDP,Granulocyte,SLAMF9,Inflammatory_polyneuropathy,6,35,0.0,0.0,0.0
CIDP,Granulocyte,SLC39A3,CIDP,6,35,0.0,0.0,0.0
CIDP,Granulocyte,TMEM175,Inflammatory_polyneuropathy,6,35,0.0,0.0,0.0
CIDP,Macrophage,CDH4,CIDP,9,3463,0.0326779217554646,0.0218874846918722,1.9405174213507583
CIDP,Macrophage,DCTN1,Inflammatory_polyneuropathy,9,3463,0.0766585586120225,0.0732008193515733,4.177109508426614
CIDP,Macrophage,DGKQ,Inflammatory_polyneuropathy,9,3463,0.0419120614630295,0.0537189811290023,2.0068641580736863
CIDP,Macrophage,DIRAS1,CIDP,9,3463,0.0011590997873328,0.0,0.0834014471754954
CIDP,Macrophage,GLDC,Inflammatory_polyneuropathy,9,3463,0.0333113995595503,0.0251561615426847,1.3124263052951288
CIDP,Macrophage,GNG7,CIDP,9,3463,0.5028301779068304,0.5653735788673346,19.177603245451337
CIDP,Macrophage,IDUA,Inflammatory_polyneuropathy,9,3463,0.0696620301491603,0.0664145498076033,2.8980624448810017
CIDP,Macrophage,ME1,Inflammatory_polyneuropathy,9,3463,0.9178582662510744,0.8139593289406216,28.96471687831076
