program,gene,original_gene_id,sample,preparation,fpkm,source_url
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,203P1,Laser captured normal microvessels,5.62,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,346P1,Laser captured normal microvessels,19.2,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,347P1,Laser captured normal microvessels,42.16,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,P3pHEnd_EC,Cultured endothelial cells,5.56,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,P8_pHEnd_EC_basal,Cultured endothelial cells,9.05,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,32P1,Laser captured normal microvessels,7.21,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,203P1,Laser captured normal microvessels,0.97,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,SLC1A1,ENSG00000106688.11_1_SLC1A1,347P1,Laser captured normal microvessels,1.69,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,P3pHEnd_EC,Cultured endothelial cells,3.9,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,P8_pHEnd_EC_basal,Cultured endothelial cells,1.12,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,32P1,Laser captured normal microvessels,2.46,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,203P1,Laser captured normal microvessels,8.47,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,346P1,Laser captured normal microvessels,7.43,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,MFSD2A,ENSG00000168389.17_2_MFSD2A,347P1,Laser captured normal microvessels,28.17,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,P3pHEnd_EC,Cultured endothelial cells,17.24,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,P8_pHEnd_EC_basal,Cultured endothelial cells,48.63,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,32P1,Laser captured normal microvessels,4.94,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,203P1,Laser captured normal microvessels,10.32,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,ICAM1,ENSG00000090339.8_1_ICAM1,347P1,Laser captured normal microvessels,68.66,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,P3pHEnd_EC,Cultured endothelial cells,0.19,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,P8_pHEnd_EC_basal,Cultured endothelial cells,0.52,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,32P1,Laser captured normal microvessels,1.76,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,203P1,Laser captured normal microvessels,1.03,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,VCAM1,ENSG00000162692.10_1_VCAM1,347P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,P3pHEnd_EC,Cultured endothelial cells,1.27,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
