cell_group,gene,evidence_tier,n_CIDP,n_CIAP,mean_CIDP,mean_CIAP,delta_mean,p_value,fdr_within_cell_group
Epineurial_stroma,IDUA,Inflammatory_polyneuropathy,9,11,0.0503629259449688,0.058936924500504,-0.0085739985555351,0.2874954188691684,0.6324899215121704
Epineurial_stroma,ME1,Inflammatory_polyneuropathy,9,11,0.5122212642850497,0.5903705472155076,-0.0781492829304579,0.4033175651094832,0.7030755317289292
Epineurial_stroma,SLAMF9,Inflammatory_polyneuropathy,9,11,0.0001833801455175,0,0.0001833801455175,0.125726089054645,0.6324899215121704
Epineurial_stroma,SLC39A3,CIDP,9,11,0.0098725684441358,0.0127370927679375,-0.0028645243238017,0.286769548806278,0.6324899215121704
Epineurial_stroma,TMEM175,Inflammatory_polyneuropathy,9,11,0.1571991865779771,0.1447584042006157,0.0124407823773614,0.5948534237883254,0.8179234577089474
Granulocyte,CDH4,CIDP,6,8,0,0.0029551131624906,-0.0029551131624906,0.4704864220587896,0.8625584404411143
Granulocyte,DCTN1,Inflammatory_polyneuropathy,6,8,0,0.1249495787439606,-0.1249495787439606,0.0629364546062141,0.6923010006683553
Granulocyte,DGKQ,Inflammatory_polyneuropathy,6,8,0.030017430704217,0.0046366107322761,0.0253808199719408,0.832239946617841,1
Granulocyte,DIRAS1,CIDP,6,8,0,0,0,1,1
Granulocyte,GLDC,Inflammatory_polyneuropathy,6,8,0,0.116235192317343,-0.116235192317343,0.4704864220587896,0.8625584404411143
Granulocyte,GNG7,CIDP,6,8,0.197073997990976,0.1391532100121969,0.057920787978779,0.8083449085042187,1
Granulocyte,IDUA,Inflammatory_polyneuropathy,6,8,0.4238576233024373,0,0.4238576233024373,0.312321421676216,0.858883909609594
Granulocyte,ME1,Inflammatory_polyneuropathy,6,8,0,0.0527701168940937,-0.0527701168940937,0.2439934922805229,0.858883909609594
Granulocyte,SLAMF9,Inflammatory_polyneuropathy,6,8,0,0,0,1,1
Granulocyte,SLC39A3,CIDP,6,8,0,0,0,1,1
Granulocyte,TMEM175,Inflammatory_polyneuropathy,6,8,0,0.0091552358205891,-0.0091552358205891,0.2439934922805229,0.858883909609594
Macrophage,CDH4,CIDP,9,11,0.0326779217554646,0.0179061611518751,0.0147717606035894,0.2371879310545802,0.4348445402667305
Macrophage,DCTN1,Inflammatory_polyneuropathy,9,11,0.0766585586120225,0.0705860017715464,0.006072556840476,0.8197075378297883,0.8197075378297884
Macrophage,DGKQ,Inflammatory_polyneuropathy,9,11,0.0419120614630295,0.0588664238795266,-0.0169543624164971,0.2873141426282569,0.4514936527015466
Macrophage,DIRAS1,CIDP,9,11,0.0011590997873328,0.0003551201413369,0.0008039796459958,0.1921965492246959,0.4348445402667305
